DATE,BTC,ETH,BNB,SOL,XRP,ADA,DOGE,AVAX,MATIC,DOT
2024-05-01,1239847221000,378921543000,85234177000,58921344000,28344122000,15977233000,23455677000,14877332000,6922144000,9234122000
2024-05-02,1170244321000,356234122000,82677344000,55633211000,27688433000,15188944000,22133277000,14011233000,6544211000,8822144000
2024-05-03,1196321444000,362788233000,83922177000,57099344000,27944211000,15588433000,22844177000,14355244000,6711344000,9011233000
2024-05-04,1252411344000,376122144000,85788433000,61744244000,28699344000,16088877000,23622177000,15111233000,7033144000,9399344000
2024-05-05,1207033244000,371022433000,84211177000,59533244000,28344122000,15866533000,23288877000,14633122000,6811344000,9199244000
2024-05-06,1239911344000,374788233000,84888433000,60788244000,28533122000,15977433000,23477177000,14811233000,6899144000,9288244000
2024-05-07,1232611344000,365788233000,83322433000,57633244000,27844122000,15588433000,22966177000,14333122000,6677144000,9044244000
2024-05-08,1192933344000,359144233000,81244433000,56599244000,27566122000,15377433000,22633177000,14022122000,6544144000,8855244000
2024-05-09,1217533344000,362233233000,82622433000,57866244000,27777122000,15499433000,22877177000,14288122000,6644144000,8988244000
2024-05-10,1185011344000,353577233000,80788433000,55944244000,27477122000,15266433000,22555177000,13911122000,6511144000,8800244000
2024-05-11,1211233344000,360788233000,82011433000,57111244000,27699122000,15422433000,22766177000,14177122000,6611144000,8955244000
2024-05-12,1244833344000,369866233000,84044433000,59144244000,28122122000,15699433000,23144177000,14611122000,6766144000,9177244000
2024-05-13,1220533344000,364577233000,83011433000,58099244000,27933122000,15599433000,22966177000,14388122000,6699144000,9077244000
2024-05-14,1253011344000,374988233000,84699433000,59944244000,28355122000,15822433000,23322177000,14722122000,6833144000,9244244000
2024-05-15,1285888344000,372144233000,86188433000,61122244000,28655122000,15955433000,23555177000,14977122000,6944144000,9466244000
2024-05-16,1285133344000,372488233000,85499433000,60522244000,28544122000,15911433000,23499177000,14911122000,6911144000,9388244000
2024-05-17,1303688344000,376322233000,87099433000,62199244000,28888122000,16055433000,23755177000,15188122000,7011144000,9566244000
2024-05-18,1321555344000,379566233000,87888433000,63166244000,29244122000,16222433000,24000177000,15411122000,7122144000,9711244000
2024-05-19,1295333344000,371022233000,86066433000,61744244000,28822122000,16011433000,23655177000,15077122000,6999144000,9533244000
2024-05-20,1331955344000,381488233000,88344433000,63766244000,29355122000,16299433000,24133177000,15588122000,7188144000,9777244000
2024-05-21,1360788344000,385577233000,89555433000,64888244000,29599122000,16422433000,24322177000,15799122000,7311144000,9922244000
2024-05-22,1336855344000,383044233000,88522433000,64033244000,29477122000,16333433000,24211177000,15622122000,7222144000,9822244000
2024-05-23,1354677344000,384366233000,88933433000,64322244000,29533122000,16377433000,24266177000,15688122000,7266144000,9877244000
2024-05-24,1342577344000,381677233000,88299433000,63655244000,29422122000,16322433000,24155177000,15533122000,7200144000,9777244000
2024-05-25,1315233344000,378022233000,87099433000,62522244000,29199122000,16222433000,23966177000,15299122000,7100144000,9633244000
2024-05-26,1339177344000,380355233000,87844433000,63266244000,29322122000,16277433000,24066177000,15477122000,7166144000,9744244000
2024-05-27,1365111344000,385088233000,88966433000,64499244000,29566122000,16411433000,24288177000,15755122000,7288144000,9900244000
2024-05-28,1377488344000,387433233000,89999433000,65177244000,29699122000,16488433000,24411177000,15933122000,7355144000,10011244000
2024-05-29,1400144344000,391088233000,91166433000,66188244000,29977122000,16611433000,24622177000,16166122000,7477144000,10166244000
2024-05-30,1374555344000,387244233000,89566433000,65022244000,29777122000,16533433000,24488177000,15888122000,7366144000,10022244000
