DATE,BTC,ETH,BNB,SOL,XRP,ADA,DOGE,AVAX,MATIC,DOT
2024-05-01,63093.77,3154.22,588.41,133.81,0.5226,0.4501,0.1638,36.24,0.7412,7.21
2024-05-02,59631.43,2967.18,571.30,126.44,0.5081,0.4277,0.1542,34.17,0.7011,6.89
2024-05-03,60957.22,3021.55,578.90,130.22,0.5134,0.4389,0.1590,35.01,0.7188,7.03
2024-05-04,63811.48,3131.40,592.17,140.55,0.5278,0.4533,0.1647,36.88,0.7533,7.34
2024-05-05,61503.20,3088.75,581.34,135.60,0.5210,0.4467,0.1623,35.72,0.7299,7.18
2024-05-06,63167.09,3119.94,586.21,138.40,0.5244,0.4498,0.1635,36.11,0.7388,7.25
2024-05-07,62801.44,3044.38,575.80,131.27,0.5118,0.4388,0.1601,34.97,0.7155,7.06
2024-05-08,60784.35,2988.64,561.22,128.93,0.5066,0.4330,0.1577,34.21,0.7014,6.91
2024-05-09,62044.18,3015.47,570.38,131.80,0.5105,0.4362,0.1594,34.88,0.7123,7.02
2024-05-10,60381.26,2941.82,557.91,127.44,0.5049,0.4299,0.1571,33.94,0.6978,6.87
2024-05-11,61729.55,3002.17,566.73,130.11,0.5088,0.4341,0.1587,34.59,0.7088,6.99
2024-05-12,63418.33,3078.50,580.62,134.77,0.5169,0.4421,0.1614,35.66,0.7244,7.16
2024-05-13,62190.47,3033.81,573.44,132.30,0.5133,0.4392,0.1601,35.12,0.7177,7.08
2024-05-14,63855.11,3122.30,584.90,136.44,0.5213,0.4455,0.1625,35.93,0.7321,7.22
2024-05-15,65521.88,3098.17,595.11,139.22,0.5267,0.4489,0.1641,36.55,0.7445,7.39
2024-05-16,65483.72,3101.04,590.38,137.88,0.5244,0.4477,0.1637,36.38,0.7408,7.33
2024-05-17,66444.29,3132.56,601.77,141.63,0.5311,0.4521,0.1655,37.04,0.7512,7.47
2024-05-18,67344.55,3159.84,607.22,143.90,0.5377,0.4566,0.1672,37.61,0.7633,7.58
2024-05-19,66033.48,3088.41,594.18,140.55,0.5298,0.4511,0.1648,36.77,0.7501,7.44
2024-05-20,67888.34,3177.22,610.44,145.21,0.5399,0.4588,0.1681,38.04,0.7711,7.63
2024-05-21,69344.18,3211.88,618.79,147.66,0.5444,0.4622,0.1694,38.55,0.7833,7.74
2024-05-22,68111.44,3188.54,611.55,145.77,0.5421,0.4601,0.1686,38.11,0.7744,7.66
2024-05-23,69021.77,3199.41,614.33,146.44,0.5433,0.4613,0.1690,38.28,0.7788,7.70
2024-05-24,68444.22,3177.80,609.88,144.99,0.5408,0.4597,0.1682,37.91,0.7721,7.63
2024-05-25,67001.55,3144.21,601.22,142.33,0.5366,0.4566,0.1669,37.34,0.7609,7.52
2024-05-26,68234.88,3166.44,606.77,144.11,0.5388,0.4582,0.1677,37.77,0.7677,7.60
2024-05-27,69558.21,3204.33,614.44,146.88,0.5439,0.4619,0.1692,38.44,0.7811,7.72
2024-05-28,70188.66,3223.77,621.33,148.44,0.5466,0.4641,0.1701,38.88,0.7888,7.81
2024-05-29,71344.44,3255.11,629.88,150.77,0.5511,0.4677,0.1716,39.44,0.8011,7.93
2024-05-30,70011.33,3222.55,618.44,148.11,0.5477,0.4655,0.1706,38.77,0.7899,7.82
